시도,,성별,계,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80,미상
,,,(27.7),(1.4),(0.9),0.0,(10.9),(6.0),(9.5),(14.3),(12.4),(11.1),(16.8),(16.7),(24.1),(31.2),(41.6),(57.7),(85.2),(124.2),
,,남,548,0,1,0,8,5,10,17,9,17,27,23,46,60,88,65,74,98,
,,,(34.5),0.0,(1.7),0.0,(12.2),(5.8),(9.8),(16.1),(9.5),(13.8),(23.1),(17.2),(36.0),(44.0),(69.9),(74.4),(122.1),(165.8),
,,여,356,1,0,0,6,5,9,12,14,10,12,22,18,30,24,45,43,105,
,,,(21.2),(2.8),0.0,0.0,(9.6),(6.1),(9.3),(12.3),(15.5),(8.3),(10.4),(16.1),(13.1),(19.7),(16.7),(43.6),(56.1),(100.6),
대구,결핵환자,계,899,0,0,1,7,16,11,28,17,23,26,45,69,84,80,105,108,279,
,,,(38.1),0.0,0.0,(0.9),(6.6),(12.4),(7.6),(19.1),(12.7),(13.3),(14.8),(21.4),(33.4),(41.5),(48.0),(89.7),(130.3),(249.1),
,,남,514,0,0,1,3,9,7,19,11,15,14,24,42,61,57,68,58,125,
,,,(44.4),0.0,0.0,(1.8),(5.4),(13.2),(9.2),(24.1),(15.6),(17.5),(16.1),(23.4),(41.9),(62.6),(72.3),(128.5),(163.2),(321.1),
,,여,385,0,0,0,4,7,4,9,6,8,12,21,27,23,23,37,50,154,
,,,(32.0),0.0,0.0,0.0,(7.8),(11.4),(5.8),(13.2),(9.5),(9.2),(13.5),(19.5),(25.5),(21.9),(26.2),(57.6),(105.6),(210.8),
,신환자,계,767,0,0,1,7,15,9,26,17,17,21,33,58,73,69,89,96,236,
,,,(32.5),0.0,0.0,(0.9),(6.6),(11.6),(6.2),(17.7),(12.7),(9.8),(12.0),(15.7),(28.1),(36.1),(41.4),(76.0),(115.8),(210.7),
,,남,424,0,0,1,3,8,5,17,11,10,10,19,36,51,48,56,51,98,
,,,(36.6),0.0,0.0,(1.8),(5.4),(11.8),(6.5),(21.6),(15.6),(11.6),(11.5),(18.5),(35.9),(52.3),(60.9),(105.8),(143.5),(251.7),
,,여,343,0,0,0,4,7,4,9,6,7,11,14,22,22,21,33,45,138,
,,,(28.5),0.0,0.0,0.0,(7.8),(11.4),(5.8),(13.2),(9.5),(8.0),(12.4),(13.0),(20.8),(21.0),(23.9),(51.4),(95.1),(188.9),
인천,결핵환자,계,950,0,1,3,9,15,23,28,39,37,57,63,74,93,94,104,86,224,
,,,(31.7),0.0,(0.9),(2.2),(6.7),(9.6),(11.5),(12.9),(19.7),(15.1),(24.8),(24.1),(29.5),(37.0),(47.8),(88.4),(99.2),(200.0),
,,남,585,0,1,2,5,6,13,18,25,22,31,42,53,71,77,62,56,101,
,,,(39.1),0.0,(1.7),(2.8),(7.3),(7.4),(12.5),(15.8),(24.4),(17.5),(26.3),(32.0),(43.0),(56.8),(80.2),(110.6),(143.9),(263.2),
,,여,365,0,0,1,4,9,10,10,14,15,26,21,21,22,17,42,30,123,
,,,(24.4),0.0,0.0,(1.5),(6.1),(11.9),(10.4),(9.6),(14.7),(12.6),(23.2),(16.2),(16.4),(17.4),(16.9),(68.2),(62.8),(167.0),
,신환자,계,787,0,1,3,8,15,21,25,32,27,50,47,59,74,75,87,68,195,
,,,(26.3),0.0,(0.9),(2.2),(6.0),(9.6),(10.5),(11.5),(16.2),(11.0),(21.7),(18.0),(23.5),(29.4),(38.2),(73.9),(78.4),(174.1),
,,남,470,0,1,2,5,6,13,16,21,16,29,30,42,54,60,51,38,86,
,,,(31.4),0.0,(1.7),(2.8),(7.3),(7.4),(12.5),(14.0),(20.5),(12.7),(24.6),(22.9),(34.1),(43.2),(62.5),(91.0),(97.6),(224.1),
,,여,317,0,0,1,3,9,8,9,11,11,21,17,17,20,15,36,30,109,
,,,(21.2),0.0,0.0,(1.5),(4.6),(11.9),(8.3),(8.7),(11.5),(9.3),(18.7),(13.1),(13.3),(15.8),(14.9),(58.4),(62.8),(148.0),
광주,결핵환자,계,404,0,0,1,2,7,16,9,12,12,10,31,25,38,36,38,52,115,
,,,(28.7),0.0,0.0,(1.4),(2.7),(8.0),(16.3),(9.9),(14.6),(10.8),(9.0),(24.5),(21.9),(36.4),(43.6),(67.4),(116.2),(204.4),
,,남,256,0,0,0,1,4,10,4,6,4,6,20,20,31,29,26,38,57,
,,,(36.8),0.0,0.0,0.0,(2.6),(8.7),(19.5),(8.4),(14.3),(7.2),(10.9),(32.0),(35.5),(61.3),(74.6),(102.3),(195.7),(284.5),
,,여,148,0,0,1,1,3,6,5,6,8,4,11,5,7,7,12,14,58,
,,,(20.7),0.0,0.0,(2.8),(2.8),(7.2),(12.8),(11.6),(14.8),(14.4),(7.1),(17.3),(8.6),(13.0),(16.0),(38.8),(55.2),(160.1),
,신환자,계,332,0,0,1,1,6,13,9,10,9,9,25,17,31,31,30,42,98,
,,,(23.6),0.0,0.0,(1.4),(1.4),(6.8),(13.2),(9.9),(12.2),(8.1),(8.1),(19.8),(14.9),(29.7),(37.6),(53.2),(93.8),(174.2),
,,남,204,0,0,0,1,3,8,4,5,3,5,15,12,26,25,21,31,45,
,,,(29.3),0.0,0.0,0.0,(2.6),(6.5),(15.6),(8.4),(12.0),(5.4),(9.0),(24.0),(21.3),(51.4),(64.3),(82.6),(159.7),(224.6),
,,여,128,0,0,1,0,3,5,5,5,6,4,10,5,5,6,9,11,53,
,,,(17.9),0.0,0.0,(2.8),0.0,(7.2),(10.6),(11.6),(12.4),(10.8),(7.1),(15.7),(8.6),(9.3),(13.7),(29.1),(43.4),(146.3),
대전,결핵환자,계,369,0,0,0,2,4,8,9,6,18,15,29,25,34,46,38,50,85,
,,,(25.7),0.0,0.0,0.0,(2.9),(4.5),(7.5),(8.9),(6.8),(16.8),(13.9),(23.0),(21.6),(30.5),(50.0),(63.7),(117.1),(149.1),
,,남,230,0,0,0,1,2,3,9,2,8,9,18,15,24,35,31,33,40,
,,,(32.2),0.0,0.0,0.0,(2.8),(4.4),(5.3),(16.7),(4.3),(14.9),(16.8),(28.5),(26.1),(44.2),(79.2),(110.7),(172.5),(195.9),
,,여,139,0,0,0,1,2,5,0,4,10,6,11,10,10,11,7,17,45,
,,,(19.3),0.0,0.0,0.0,(3.0),(4.6),(10.0),0.0,(9.6),(18.7),(11.0),(17.4),(17.1),(17.5),(23.0),(22.1),(72.1),(122.9),
,신환자,계,299,0,0,0,2,4,7,7,5,13,10,24,21,23,36,34,41,72,
,,,(20.8),0.0,0.0,0.0,(2.9),(4.5),(6.6),(6.9),(5.7),(12.1),(9.2),(19.0),(18.1),(20.7),(39.1),(57.0),(96.0),(126.3),
,,남,182,0,0,0,1,2,3,7,2,6,7,13,12,16,28,28,25,32,
,,,(25.5),0.0,0.0,0.0,(2.8),(4.4),(5.3),(13.0),(4.3),(11.2),(13.1),(20.6),(20.9),(29.5),(63.4),(100.0),(130.7),(156.7),
,,여,117,0,0,0,1,2,4,0,3,7,3,11,9,7,8,6,16,40,
,,,(16.2),0.0,0.0,0.0,(3.0),(4.6),(8.0),0.0,(7.2),(13.1),(5.5),(17.4),(15.4),(12.3),(16.7),(19.0),(67.9),(109.3),
울산,결핵환자,계,366,0,0,0,2,5,5,15,10,14,13,28,33,43,47,43,42,66,
,,,(33.3),0.0,0.0,0.0,(3.8),(9.4),(7.5),(21.6),(15.0),(15.7),(15.2),(28.1),(32.0),(44.4),(62.7),(93.7),(147.5),(202.5),
,,남,226,0,0,0,1,4,3,10,6,8,12,18,26,29,30,28,22,29,
,,,(40.1),0.0,0.0,0.0,(3.6),(13.3),(7.9),(25.9),(16.8),(17.4),(27.3),(36.3),(49.9),(58.7),(80.7),(124.3),(163.6),(258.4),
,,여,140,0,0,0,1,1,2,5,4,6,1,10,7,14,17,15,20,37,
,,,(26.2),0.0,0.0,0.0,(3.9),(4.4),(7.1),(16.2),(12.9),(13.9),(2.4),(19.9),(13.7),(29.5),(45.0),(64.2),(133.1),(173.1),
,신환자,계,297,0,0,0,1,5,4,13,8,11,12,22,25,31,31,40,36,58,
,,,(27.1),0.0,0.0,0.0,(1.9),(9.4),(6.0),(18.7),(12.0),(12.3),(14.0),(22.0),(24.3),(32.0),(41.4),(87.2),(126.5),(177.9),
,,남,173,0,0,0,1,4,2,8,5,7,11,14,19,20,17,25,17,23,
,,,(30.7),0.0,0.0,0.0,(3.6),(13.3),(5.2),(20.7),(14.0),(15.2),(25.0),(28.3),(36.5),(40.5),(45.7),(111.0),(126.4),(204.9),
,,여,124,0,0,0,0,1,2,5,3,4,1,8,6,11,14,15,19,35,
,,,(23.2),0.0,0.0,0.0,0.0,(4.4),(7.1),(16.2),(9.7),(9.3),(2.4),(15.9),(11.8),(23.2),(37.1),(64.2),(126.5),(163.8),
세종,결핵환자,계,58,0,0,0,0,0,1,2,3,6,4,3,1,5,8,6,7,12,
,,,(15.0),0.0,0.0,0.0,0.0,0.0,(5.1),(7.3),(9.5),(14.7),(11.1),(9.4),(4.2),(23.8),(47.6),(58.4),(102.9),(121.1),
,,남,39,0,0,0,0,0,0,1,3,4,2,2,1,4,4,3,7,8,
,,,(20.2),0.0,0.0,0.0,0.0,0.0,0.0,(7.4),(19.2),(20.1),(11.1),(11.8),(8.3),(37.8),(48.4),(60.2),(223.0),(239.3),
,,여,19,0,0,0,0,0,1,1,0,2,2,1,0,1,4,3,0,4,
,,,(9.8),0.0,0.0,0.0,0.0,0.0,(10.0),(7.2),0.0,(9.5),(11.1),(6.6),0.0,(9.6),(46.8),(56.7),0.0,(60.9),
,신환자,계,39,0,0,0,0,0,1,1,2,4,3,1,1,3,4,5,5,9,
,,,(10.1),0.0,0.0,0.0,0.0,0.0,(5.1),(3.6),(6.3),(9.8),(8.3),(3.1),(4.2),(14.3),(23.8),(48.7),(73.5),(90.9),
,,남,26,0,0,0,0,0,0,1,2,3,1,0,1,2,3,2,5,6,
,,,(13.5),0.0,0.0,0.0,0.0,0.0,0.0,(7.4),(12.8),(15.1),(5.5),0.0,(8.3),(18.9),(36.3),(40.2),(159.3),(179.5),
,,여,13,0,0,0,0,0,1,0,0,1,2,1,0,1,1,3,0,3,
,,,(6.7),0.0,0.0,0.0,0.0,0.0,(10.0),0.0,0.0,(4.8),(11.1),(6.6),0.0,(9.6),(11.7),(56.7),0.0,(45.7),
경기,결핵환자,계,"4,073",1,2,4,28,70,112,142,142,183,207,323,358,432,416,367,364,922,
,,,(30.0),(0.3),(0.4),(0.6),(4.3),(9.5),(12.2),(14.6),(15.5),(16.1),(19.1),(26.5),(32.3),(41.4),(51.0),(73.5),(97.5),(185.0),
,,남,"2,620",1,2,4,18,36,61,78,88,112,126,209,273,327,303,270,226,486,
,,,(38.3),(0.5),(0.7),(1.2),(5.4),(9.4),(12.6),(15.2),(18.7),(19.2),(22.9),(33.9),(49.2),(62.2),(75.4),(114.0),(134.8),(271.0),
,,여,"1,453",0,0,0,10,34,51,64,54,71,81,114,85,105,113,97,138,436,
,,,(21.5),0.0,0.0,0.0,(3.2),(9.6),(11.8),(14.0),(12.2),(12.8),(15.2),(18.9),(15.4),(20.2),(27.3),(37.0),(67.1),(136.7),
,신환자,계,"3,205",1,2,4,26,64,100,119,119,154,159,250,279,330,306,274,286,732,
,,,(23.6),(0.3),(0.4),(0.6),(4.0),(8.7),(10.9),(12.3),(13.0),(13.5),(14.7),(20.5),(25.2),(31.6),(37.5),(54.9),(76.6),(146.9),
,,남,"2,008",1,2,4,17,32,56,69,74,95,98,159,214,249,211,188,171,368,
,,,(29.4),(0.5),(0.7),(1.2),(5.1),(8.4),(11.6),(13.5),(15.7),(16.3),(17.8),(25.8),(38.5),(47.4),(52.5),(79.4),(102.0),(205.2),
,,여,"1,197",0,0,0,9,32,44,50,45,59,61,91,65,81,95,86,115,364,
,,,(17.7),0.0,0.0,0.0,(2.8),(9.1),(10.2),(10.9),(10.2),(10.6),(11.4),(15.1),(11.7),(15.6),(23.0),(32.8),(55.9),(114.1),
강원,결핵환자,계,728,0,0,0,2,4,9,10,7,14,20,30,55,61,65,81,106,264,
,,,(48.0),0.0,0.0,0.0,(3.1),(5.2),(10.9),(12.3),(9.2),(14.1),(19.2),(23.3),(41.8),(42.0),(49.7),(99.4),(165.9),(267.7),
,,남,418,0,0,0,0,2,4,3,4,7,11,21,38,46,50,61,66,105,
,,,(54.8),0.0,0.0,0.0,0.0,(4.7),(8.6),(6.8),(10.0),(13.8),(20.8),(31.5),(56.4),(63.1),(76.3),(156.8),(230.0),(308.4),
,,여,310,0,0,0,2,2,5,7,3,7,9,9,17,15,15,20,40,159,
,,,(41.1),0.0,0.0,0.0,(6.4),(5.9),(13.8),(18.9),(8.2),(14.3),(17.6),(14.5),(26.5),(20.7),(23.0),(47.0),(113.6),(246.2),
,신환자,계,577,0,0,0,2,4,9,9,7,10,12,20,41,51,50,59,83,220,
,,,(38.0),0.0,0.0,0.0,(3.1),(5.2),(10.9),(11.0),(9.2),(10.0),(11.5),(15.6),(31.2),(35.1),(38.2),(72.4),(129.9),(223.1),
,,남,318,0,0,0,0,2,4,3,4,4,7,16,25,37,37,46,50,83,
,,,(41.7),0.0,0.0,0.0,0.0,(4.7),(8.6),(6.8),(10.0),(7.9),(13.2),(24.0),(37.1),(50.8),(56.5),(118.2),(174.2),(243.8),
,,여,259,0,0,0,2,2,5,6,3,6,5,4,16,14,13,13,33,137,
,,,(34.3),0.0,0.0,0.0,(6.4),(5.9),(13.8),(16.2),(8.2),(12.2),(9.8),(6.5),(24.9),(19.3),(19.9),(30.5),(93.7),(212.1),
충북,결핵환자,계,605,0,0,0,3,6,14,21,13,20,21,44,42,58,60,59,70,174,
,,,(38.1),0.0,0.0,0.0,(4.2),(7.4),(14.5),(21.5),(14.4),(17.6),(18.5),(32.8),(30.5),(41.5),(49.8),(77.1),(126.1),(198.6),
,,남,398,0,0,0,2,5,11,15,7,11,14,35,28,46,44,40,54,86,
,,,(49.3),0.0,0.0,0.0,(5.4),(11.4),(20.3),(27.3),(14.6),(18.7),(23.9),(50.5),(39.9),(64.5),(72.9),(108.2),(214.3),(291.6),
,,여,207,0,0,0,1,1,3,6,6,9,7,9,14,12,16,19,16,88,
,,,(26.5),0.0,0.0,0.0,(2.9),(2.7),(7.0),(14.1),(14.2),(16.5),(12.8),(13.9),(20.8),(17.5),(26.6),(48.0),(52.8),(151.4),
,신환자,계,489,0,0,0,3,5,14,19,11,17,15,35,34,45,42,44,59,146,
,,,(30.8),0.0,0.0,0.0,(4.2),(6.2),(14.5),(19.5),(12.2),(15.0),(13.2),(26.1),(24.7),(32.2),(34.9),(57.5),(106.3),(166.6),
,,남,309,0,0,0,2,4,11,13,7,9,8,28,21,36,27,28,46,69,
,,,(38.3),0.0,0.0,0.0,(5.4),(9.1),(20.3),(23.7),(14.6),(15.3),(13.6),(40.4),(29.9),(50.4),(44.7),(75.7),(182.5),(234.0),
,,여,180,0,0,0,1,1,3,6,4,8,7,7,13,9,15,16,13,77,
,,,(23.1),0.0,0.0,0.0,(2.9),(2.7),(7.0),(14.1),(9.5),(14.7),(12.8),(10.8),(19.3),(13.2),(24.9),(40.5),(42.9),(132.4),
충남,결핵환자,계,873,0,0,1,5,10,16,18,19,28,30,57,48,87,96,79,88,291,
,,,(41.1),0.0,0.0,(1.0),(5.0),(9.5),(13.6),(14.5),(15.0),(17.3),(19.1),(32.0),(28.0),(48.7),(63.9),(75.9),(111.2),(222.5),
,,남,544,0,0,0,2,6,10,11,12,16,20,38,36,69,71,50,52,151,
,,,(49.9),0.0,0.0,0.0,(3.9),(10.5),(15.0),(16.0),(17.7),(18.6),(23.9),(39.8),(39.9),(74.9),(94.3),(99.9),(142.4),(340.5),
,,여,329,0,0,1,3,4,6,7,7,12,10,19,12,18,25,29,36,140,
,,,(31.7),0.0,0.0,(2.0),(6.2),(8.3),(11.8),(12.6),(11.9),(15.8),(13.6),(22.9),(14.7),(20.8),(33.3),(53.7),(84.5),(162.0),
,신환자,계,702,0,0,1,5,10,11,17,12,21,26,46,37,65,73,63,73,242,
,,,(33.0),0.0,0.0,(1.0),(5.0),(9.5),(9.4),(13.6),(9.5),(12.9),(16.5),(25.8),(21.6),(36.4),(48.6),(60.6),(92.3),(185.0),
,,남,416,0,0,0,2,6,8,10,6,14,17,27,26,51,49,36,43,121,
,,,(38.2),0.0,0.0,0.0,(3.9),(10.5),(12.0),(14.5),(8.9),(16.2),(20.3),(28.3),(28.8),(55.3),(65.1),(72.0),(117.7),(272.9),
,,여,286,0,0,1,3,4,3,7,6,7,9,19,11,14,24,27,30,121,
,,,(27.6),0.0,0.0,(2.0),(6.2),(8.3),(5.9),(12.6),(10.2),(9.2),(12.2),(22.9),(13.5),(16.2),(32.0),(50.0),(70.4),(140.0),
전북,결핵환자,계,731,0,0,1,5,7,8,11,8,16,21,35,51,71,70,82,85,260,
,,,(42.0),0.0,0.0,(1.2),(6.0),(7.7),(8.5),(12.5),(9.5),(14.0),(16.9),(23.1),(34.3),(46.3),(52.8),(84.2),(108.8),(212.7),
,,남,466,0,0,0,2,4,5,8,6,12,13,31,38,55,52,58,55,127,
,,,(53.8),0.0,0.0,0.0,(4.6),(8.1),(9.7),(17.1),(13.9),(20.5),(20.4),(39.4),(49.4),(71.1),(79.4),(125.8),(158.3),(316.7),
,,여,265,0,0,1,3,3,3,3,2,4,8,4,13,16,18,24,30,133,
,,,(30.3),0.0,0.0,(2.6),(7.6),(7.2),(7.0),(7.3),(4.9),(7.1),(13.2),(5.5),(18.1),(21.1),(26.8),(46.8),(69.1),(162.0),
,신환자,계,608,0,0,1,5,6,8,10,7,13,17,26,43,53,58,68,69,224,
,,,(34.9),0.0,0.0,(1.2),(6.0),(6.6),(8.5),(11.4),(8.3),(11.4),(13.7),(17.2),(28.9),(34.6),(43.7),(69.8),(88.3),(183.3),
,,남,376,0,0,0,2,3,5,8,5,9,10,23,32,42,43,45,43,106,
,,,(43.4),0.0,0.0,0.0,(4.6),(6.1),(9.7),(17.1),(11.6),(15.4),(15.7),(29.2),(41.6),(54.3),(65.6),(97.6),(123.8),(264.3),
,,여,232,0,0,1,3,3,3,2,2,4,7,3,11,11,15,23,26,118,
,,,(26.5),0.0,0.0,(2.6),(7.6),(7.2),(7.0),(4.8),(4.9),(7.1),(11.6),(4.1),(15.3),(14.5),(22.3),(44.9),(59.9),(143.7),
전남,결핵환자,계,"1,007",0,0,1,3,7,17,17,15,16,21,43,68,80,68,106,127,418,
,,,(56.2),0.0,0.0,(1.3),(3.8),(8.4),(18.9),(19.9),(17.9),(13.9),(17.4),(28.7),(43.0),(48.2),(47.9),(101.3),(144.7),(290.6),
,,남,598,0,0,0,1,2,13,10,7,6,14,35,58,63,53,79,81,176,
,,,(66.2),0.0,0.0,0.0,(2.5),(4.3),(25.9),(21.9),(16.1),(9.9),(21.8),(43.4),(68.0),(72.9),(73.7),(157.0),(209.2),(394.2),
,,여,409,0,0,1,2,5,4,7,8,10,7,8,10,17,15,27,46,242,
,,,(46.0),0.0,0.0,(2.6),(5.3),(13.6),(10.1),(17.7),(19.9),(18.4),(12.4),(11.6),(13.7),(21.4),(21.5),(49.7),(93.8),(244.0),
,신환자,계,818,0,0,1,3,6,14,14,13,13,19,35,52,66,56,82,109,335,
,,,(45.6),0.0,0.0,(1.3),(3.8),(7.2),(15.6),(16.4),(15.6),(11.3),(15.7),(23.4),(32.9),(39.8),(39.5),(78.4),(124.2),(232.9),
,,남,471,0,0,0,1,2,11,8,6,5,14,28,48,51,42,58,66,131,
,,,(52.1),0.0,0.0,0.0,(2.5),(4.3),(21.9),(17.5),(13.8),(8.2),(21.8),(34.7),(56.3),(59.0),(58.4),(115.3),(170.4),(293.4),
,,여,347,0,0,1,2,4,3,6,7,8,5,7,4,15,14,24,43,204,
,,,(39.0),0.0,0.0,(2.6),(5.3),(10.9),(7.6),(15.2),(17.4),(14.7),(8.9),(10.1),(5.5),(18.8),(20.0),(44.2),(87.6),(205.6),
경북,결핵환자,계,"1,403",0,1,1,3,13,22,23,18,33,22,62,71,121,135,151,179,548,
,,,(55.3),0.0,(1.1),(0.9),(2.8),(11.2),(17.5),(18.0),(14.0),(19.1),(12.5),(28.8),(31.5),(50.1),(64.1),(99.4),(167.8),(314.1),
,,남,772,0,0,0,2,7,8,11,11,17,15,49,47,87,84,95,105,234,
,,,(60.3),0.0,0.0,0.0,(3.5),(10.6),(11.1),(15.5),(16.0),(18.9),(16.4),(43.7),(40.5),(70.7),(79.9),(131.2),(218.1),(417.7),
,,여,631,0,1,1,1,6,14,12,7,16,7,13,24,34,51,56,74,314,
,,,(50.3),0.0,(2.3),(1.9),(2.0),(12.0),(26.3),(21.1),(11.7),(19.3),(8.3),(12.6),(21.9),(28.7),(48.3),(70.4),(126.4),(265.1),
,신환자,계,"1,143",0,1,1,3,12,21,18,16,28,17,50,45,96,108,117,148,462,
,,,(45.1),0.0,(1.1),(0.9),(2.8),(10.3),(16.7),(14.1),(12.5),(16.2),(9.6),(23.2),(19.9),(39.8),(51.2),(77.0),(138.7),(264.8),
,,남,597,0,0,0,2,6,8,8,9,14,11,39,29,71,63,72,84,181,
,,,(46.6),0.0,0.0,0.0,(3.5),(9.1),(11.1),(11.2),(13.1),(15.6),(12.0),(34.8),(25.0),(57.7),(59.9),(99.4),(174.5),(323.1),
,,여,546,0,1,1,1,6,13,10,7,14,6,11,16,25,45,45,64,281,
,,,(43.5),0.0,(2.3),(1.9),(2.0),(12.0),(24.5),(17.6),(11.7),(16.9),(7.1),(10.7),(14.6),(21.1),(42.6),(56.6),(109.3),(237.2),
경남,결핵환자,계,"1,087",1,1,1,2,7,23,25,30,47,48,83,95,105,126,104,115,274,
,,,(33.7),(1.3),(0.8),(0.6),(1.3),(4.7),(14.1),(14.6),(17.1),(19.0),(19.4),(28.2),(33.1),(36.2),(51.8),(64.3),(100.3),(165.3),
,,남,678,0,1,0,2,4,10,18,20,28,32,60,70,71,94,78,64,126,
,,,(41.7),0.0,(1.5),0.0,(2.5),(4.7),(10.9),(19.4),(21.9),(22.0),(25.2),(39.8),(48.0),(48.6),(77.8),(101.0),(125.2),(243.1),
,,여,409,1,0,1,0,3,13,7,10,19,16,23,25,34,32,26,51,148,
,,,(25.5),(2.7),0.0,(1.3),0.0,(4.6),(18.1),(8.9),(11.9),(15.8),(13.3),(16.1),(17.7),(23.7),(26.1),(30.8),(80.3),(129.9),
,신환자,계,867,1,1,0,2,4,20,24,27,41,39,60,70,80,94,84,93,227,
,,,(26.8),(1.3),(0.8),0.0,(1.3),(2.7),(12.2),(14.0),(15.4),(16.6),(15.7),(20.4),(24.4),(27.6),(38.6),(52.0),(81.1),(137.0),
,,남,529,0,1,0,2,3,9,17,18,25,28,41,50,52,69,59,52,103,
,,,(32.5),0.0,(1.5),0.0,(2.5),(3.5),(9.8),(18.3),(19.7),(19.7),(22.0),(27.2),(34.3),(35.6),(57.1),(76.4),(101.7),(198.7),
,,여,338,1,0,0,0,1,11,7,9,16,11,19,20,28,25,25,41,124,
,,,(21.1),(2.7),0.0,0.0,0.0,(1.5),(15.3),(8.9),(10.7),(13.3),(9.1),(13.3),(14.1),(19.5),(20.4),(29.6),(64.5),(108.9),
